table_name,column_name,foreign_table_name,foreign_column_name
classes,teacher_id,profiles,id
students,class_id,classes,id
schedule,class_id,classes,id
schedule,subject_id,subjects,id
schedule,teacher_id,profiles,id
journal_entries,class_id,classes,id
journal_entries,subject_id,subjects,id
journal_entries,teacher_id,profiles,id
journal_entries,school_year_id,school_years,id
student_notes,student_id,students,id
student_notes,teacher_id,profiles,id
teacher_attendance,teacher_id,profiles,id
agendas,teacher_id,profiles,id
profiles,active_school_year_id,school_years,id
materials,teacher_id,profiles,id
materials,class_id,classes,id
materials,subject_id,subjects,id
activation_tokens,used_by,profiles,id
grade_records,student_id,students,id
grade_records,subject_id,subjects,id
grade_records,class_id,classes,id
grade_records,teacher_id,profiles,id
grade_records,school_year_id,school_years,id
attendance_records,student_id,students,id
attendance_records,subject_id,subjects,id
attendance_records,class_id,classes,id
attendance_records,teacher_id,profiles,id
attendance_records,school_year_id,school_years,id