routine_schema,routine_name,routine_type,data_type
public,activate_account_with_code,FUNCTION,void
public,debug_show_all_grades,FUNCTION,record
public,diagnose_attendance_logic,FUNCTION,json
public,get_active_school_year_id,FUNCTION,uuid
public,get_grades_by_student_name,FUNCTION,record
public,get_indonesian_day_name_from_date,FUNCTION,text
public,get_student_attendance_ledger,FUNCTION,record
public,get_student_grades_ledger,FUNCTION,record
public,get_student_grades_ledger_test,FUNCTION,record
public,get_student_performance_for_class,FUNCTION,record
public,get_student_performance_for_class_optimized,FUNCTION,record
public,get_teacher_activity_counts,FUNCTION,record
public,get_teacher_attendance_summary,FUNCTION,record
public,handle_new_user,FUNCTION,trigger
public,is_admin,FUNCTION,boolean